no.,menu_makanan,bahan_makanan,air (ml),energi (kal),protein,lemak_total,karbohidrat,serat,kalsium,fosfor,zat_besi,natrium,kalium,tembaga,seng,vit_c,price (100 gr),rasa ,class,meal_time
304,Paku hinela wulelenggapaya,"daun paku, kelapa, bumbu",83.4,77,3500,4600,5400.0,3600,63,85.0,0.0,469,37.0,0.3,0.7,4.0,6000,gurih,sayur,"breakfast, dinner, lunch"
305,Pelecing kangkung,"kangkung, sambal, kelapa",83.8,75,2500,2800,10000.0,5400,36,3.0,2.1,408,381.0,0.1,0.4,12.0,6000,pedas,sayur,"breakfast, dinner, lunch"
306,Purundawa,"daun singkong, kelapa",91.8,25,1500,500,3600.0,1700,147,39.0,0.0,239,201.0,0.1,0.6,2.0,5000,gurih,sayur,"breakfast, dinner, lunch"
307,Rujak cingur,"sayur, buah, cingur, bumbu kacang",70.1,153,11300,8400,8000.0,1400,256,143.0,4.4,100,80.0,0.1,0.5,2.0,8000,gurih,sayur,"breakfast, dinner, lunch"
308,Sayur asem,"sayur campur, asam, bumbu",93.2,29,700,600,5000.0,600,40,61.0,3.1,10,40.0,0.1,0.5,0.0,5000,asam,sayur,"breakfast, dinner, lunch"
309,Sayur bunga pepaya,"bunga pepaya, bumbu",83.4,49,1700,300,9800.0,2700,220,220.0,1.3,90,350.0,0.1,0.1,0.0,6000,pahit,sayur,"breakfast, dinner, lunch"
310,Sayur garu,"daun garu, kelapa, bumbu",70.8,178,2600,13900,10600.0,8400,30,130.0,0.9,20,120.0,0.1,0.3,9.0,6000,gurih,sayur,"breakfast, dinner, lunch"
311,Sayur kohu-kohu,"sayur campur, kelapa, ikan",72.8,133,7300,6600,11200.0,1200,40,120.0,0.2,20,50.0,0.1,0.3,9.0,7000,gurih,sayur,"breakfast, dinner, lunch"
312,Sayur lilin-terubuk,"terubuk, kelapa, bumbu",90.4,36,2700,700,4800.0,1400,10,90.0,0.1,30,44.0,0.2,1.0,18.0,6000,gurih,sayur,"breakfast, dinner, lunch"
313,Sayur ndusuk,"daun ndusuk, kelapa, bumbu",87.5,49,3100,2500,3600.0,1500,11,6.0,0.5,1011,88.0,0.1,0.2,15.0,6000,gurih,sayur,"breakfast, dinner, lunch"
314,Sayur sop,"sayur campur, bumbu",92.7,27,1300,2000,1000.0,300,168,57.0,1.8,10,40.0,0.1,0.5,0.0,5000,gurih,sayur,"dinner, lunch"
315,Sayur umbut kelapa,"umbut kelapa, bumbu",85.5,67,5200,2900,5100.0,1400,48,81.0,3.2,313,108.0,0.2,1.1,5.0,6000,gurih,sayur,"breakfast, dinner, lunch"
316,Sayur umbut rotan,"umbut rotan, bumbu",87.6,57,5400,2600,3100.0,1600,184,135.0,1.2,256,81.0,0.2,0.9,6.0,6000,gurih,sayur,"breakfast, dinner, lunch"
317,Shabu-shabu,"sayur campur, daging, kuah",87.1,88,3200,8000,800.0,900,217,48.0,2.9,514,100.0,0.1,0.5,0.0,10000,gurih,sayur,"breakfast, dinner, lunch"
318,Semur jengkol,"jengkol, kecap, bumbu",52.7,212,6000,10000,29100.0,2000,77,99.0,1.0,100,80.0,0.1,0.5,4.0,7000,gurih,sayur,"breakfast, dinner, lunch"
319,Tinira ninahu nggaluku,"sayur campur, kelapa, bumbu",91.8,33,1200,1300,4100.0,3100,35,35.0,0.0,161,119.0,0.2,0.7,10.0,6000,gurih,sayur,"breakfast, dinner, lunch"
320,Tumis bayam bersantan,"bayam, santan, bumbu",91.2,48,1400,4200,2600.0,500,129,27.0,0.8,10,40.0,0.1,0.5,22.0,6000,gurih,sayur,"dinner, lunch"
321,Waluh balamak,"labu kuning, kelapa",89.4,45,800,900,8100.0,7900,25,25.0,0.5,61,15.0,0.1,0.2,2.0,6000,manis,sayur,"breakfast, dinner, lunch"
322,Woku ubi,"ubi jalar, kelapa, bumbu",73.0,143,3100,7800,15000.0,7000,195,91.0,2.8,353,256.0,0.3,1.0,15.0,6000,gurih,sayur,"breakfast, dinner, lunch"
323,Margarin,"minyak nabati, air",15.5,720,600,81000,400.0,0,20,16.0,0.0,760,25.9,0.0,0.0,0.0,12000,gurih,minyak,"breakfast, dinner, lunch"
324,Mentega,susu sapi,16.0,742,500,81600,1400.0,0,15,16.0,1.1,653,103.0,0.0,0.4,0.0,13000,gurih,minyak,"breakfast, dinner, lunch"
325,Santan (dengan air),"kelapa, air",80.0,122,2000,10000,7600.0,1400,25,30.0,0.1,9,162.4,0.2,0.4,2.0,7000,gurih,minyak,"breakfast, dinner, lunch"
326,Santan murni,kelapa,54.9,324,4200,34300,5600.0,0,14,45.0,1.9,18,514.1,0.4,0.9,2.0,9000,gurih,minyak,"breakfast, dinner, lunch"
327,Alpukat,alpukat,84.3,85,900,6500,7700.0,2000,10,20.0,0.9,2,278.0,0.2,0.4,13.0,9000,gurih,buah,"breakfast, dinner, lunch"
328,Anggur hutan,anggur hutan,92.3,30,500,200,6800.0,1200,39,12.0,1.1,5,80.0,0.1,0.2,3.0,8000,manis,buah,"breakfast, dinner, lunch"
329,Apel malang,apel,85.9,57,500,400,12800.0,800,9,18.0,0.6,4,175.4,0.1,0.3,5.0,7000,manis,buah,"breakfast, dinner, lunch"
330,Apel,apel,84.1,58,300,400,14900.0,2600,6,10.0,0.3,2,130.0,0.1,0.3,5.0,7000,manis,buah,"breakfast, dinner, lunch"
331,Arbai,arbai (stroberi liar),89.9,37,800,500,8300.0,1000,28,27.0,0.8,2,43.0,0.1,0.4,60.0,9000,asam,buah,"breakfast, dinner, lunch"
332,Belimbing,belimbing,90.0,36,400,400,8800.0,3200,4,12.0,1.1,4,130.0,0.1,0.1,35.0,7000,asam,buah,"breakfast, dinner, lunch"
333,Biwah,biwah (loquat),87.1,51,300,100,12100.0,700,220,14.0,0.8,1,258.6,0.1,0.1,4.0,8000,manis,buah,"breakfast, dinner, lunch"
334,Buah atung,buah atung,92.0,23,800,200,5200.0,1000,30,50.0,4.6,5,80.0,0.1,0.5,38.0,7000,manis,buah,"breakfast, dinner, lunch"
335,Buah kelenting,buah kelenting,73.9,110,1400,2100,21400.0,1000,8,102.0,1.1,2,0.0,0.1,0.3,6.0,7000,manis,buah,"breakfast, dinner, lunch"
336,Buah kom,buah kom,33.7,264,4000,1100,59600.0,9000,306,92.0,0.8,5,80.0,0.1,0.5,9.0,8000,manis,buah,"breakfast, dinner, lunch"
337,Buah mentega,buah mentega,89.0,39,700,200,9700.0,2000,43,17.0,0.8,1,90.0,0.1,0.1,33.0,8000,manis,buah,"breakfast, dinner, lunch"
338,Buah Naga Merah,buah naga merah,85.7,71,1700,3100,9100.0,3200,13,14.0,0.4,10,128.0,0.1,0.4,1.0,9000,manis,buah,"breakfast, dinner, lunch"
339,Buah Naga Putih,buah naga putih,86.6,56,800,1000,10900.0,3200,13,27.0,0.5,7,231.0,0.1,0.4,1.0,9000,manis,buah,"breakfast, dinner, lunch"
340,Buah negri,buah negri,85.7,55,1200,100,12200.0,5200,30,40.0,0.2,10,0.0,0.1,0.3,9.0,8000,manis,buah,"breakfast, dinner, lunch"
341,Buah nona,buah nona,71.5,101,1700,600,25200.0,2800,27,20.0,0.8,5,312.5,0.1,0.1,22.0,8000,manis,buah,"breakfast, dinner, lunch"
342,Buah rotan,buah rotan,79.4,78,600,300,18200.0,1000,1,7.0,3.4,7,495.0,0.1,0.2,5.0,8000,asam,buah,"breakfast, dinner, lunch"
343,Buah rukam,buah rukam,71.3,113,800,300,26800.0,7700,108,52.0,1.2,2,219.0,0.1,0.3,20.0,8000,asam,buah,"breakfast, dinner, lunch"
344,Buah ruruhi,buah ruruhi,93.0,29,2100,700,3600.0,2600,6,7.0,0.0,36,45.0,0.1,0.1,10.0,8000,manis,buah,"breakfast, dinner, lunch"
345,Buah tuppa,buah tuppa,82.5,67,400,200,15900.0,1000,12,139.0,0.5,2,0.0,0.1,0.2,5.0,8000,manis,buah,"breakfast, dinner, lunch"
346,Carica papaya,carica papaya,93.4,24,1900,200,3700.0,1000,51,33.0,1.8,5,80.0,0.1,0.2,85.0,7000,manis,buah,"breakfast, dinner, lunch"
347,Cempedak,cempedak,67.0,116,3000,400,28600.0,3400,20,30.0,1.5,25,243.7,0.1,0.2,15.0,8000,manis,buah,"breakfast, dinner, lunch"
348,Duku,duku,82.0,63,1000,200,16100.0,4300,18,9.0,0.9,2,149.0,0.1,0.2,9.0,7000,manis,buah,"breakfast, dinner, lunch"
349,Durian,durian,65.0,134,2500,3000,28000.0,3500,7,44.0,1.3,1,601.0,0.1,0.3,53.0,12000,manis,buah,"breakfast, dinner, lunch"
350,Duwet,duwet (jamblang),80.2,80,500,600,18200.0,900,33,138.0,1.3,16,92.7,0.1,0.3,13.0,8000,manis,buah,"breakfast, dinner, lunch"
351,Embacang,embacang,72.5,98,1400,200,25400.0,1900,21,15.0,0.5,3,250.9,0.1,0.1,56.0,8000,asam,buah,"breakfast, dinner, lunch"
352,Encung asam,encung asam,73.0,122,3500,4500,17500.0,9300,63,69.0,3.2,10,80.0,0.1,0.5,0.0,8000,asam,buah,"breakfast, dinner, lunch"
353,Erbis,erbis (umbi liar),80.0,70,600,0,18900.0,7700,11,50.0,1.1,21,257.1,0.1,0.1,16.0,7000,tawar,buah,"breakfast, dinner, lunch"
354,Gandaria masak,gandaria,80.8,68,700,100,18000.0,2200,9,20.0,1.0,3,129.0,0.1,0.2,11.0,8000,asam,buah,"breakfast, dinner, lunch"
355,Gatep,gatep (umbi liar),52.7,191,4500,1500,39700.0,13400,186,69.0,3.2,17,403.3,0.1,0.3,10.0,7000,tawar,buah,"breakfast, dinner, lunch"
356,Jambu air,jambu air,87.0,46,600,200,11800.0,2100,8,9.0,1.1,11,321.2,0.1,0.1,5.0,7000,segar,buah,"breakfast, dinner, lunch"
357,Jambu biji,jambu biji,86.0,49,900,300,12200.0,2400,14,28.0,1.1,10,52.8,0.1,0.3,87.0,7000,segar,buah,"breakfast, dinner, lunch"
358,Jambu biji putih tidak berbiji,jambu biji putih,82.8,61,900,300,15400.0,4500,31,41.0,0.2,20,103.0,0.1,0.5,11.0,7000,segar,buah,"breakfast, dinner, lunch"
359,Jambu bol,jambu bol,87.1,49,2300,200,9600.0,3500,8,8.0,0.3,1,14.0,0.1,0.1,22.0,7000,segar,buah,"breakfast, dinner, lunch"
360,Jambu monyet,jambu monyet,82.6,64,700,600,15800.0,1200,4,13.0,0.5,12,107.8,0.1,0.2,19.0,7000,segar,buah,"breakfast, dinner, lunch"
361,Jeruk bali,jeruk bali,86.3,48,600,200,12400.0,800,23,27.0,0.5,21,366.1,0.1,0.1,43.0,7000,segar,buah,"breakfast, dinner, lunch"
362,Jeruk banjar,jeruk banjar,84.5,61,800,200,14100.0,5400,9,13.0,0.2,3,79.0,0.1,0.1,31.0,7000,segar,buah,"breakfast, dinner, lunch"
363,Jeruk garut-keprok,"jeruk garut, keprok",87.3,44,800,300,10900.0,1600,33,23.0,0.4,5,518.1,0.1,0.2,31.0,7000,segar,buah,"breakfast, dinner, lunch"
364,Jeruk Kalamansi,jeruk kalamansi,90.2,39,300,300,8900.0,2300,42,85.0,0.5,3,82.0,0.1,0.1,30.0,7000,asam,buah,"breakfast, dinner, lunch"
365,Jeruk manis,jeruk manis,87.2,45,900,200,11200.0,1400,33,23.0,0.4,4,472.1,0.1,0.2,49.0,7000,segar,buah,"breakfast, dinner, lunch"
366,Jeruk nipis,jeruk nipis,88.9,44,500,200,10000.0,400,18,22.0,0.2,3,108.9,0.1,0.1,20.0,7000,asam,buah,"breakfast, dinner, lunch"
367,Jeruk ragi,jeruk ragi,87.6,49,700,200,11100.0,500,36,67.0,0.7,4,457.3,0.1,0.2,30.0,7000,segar,buah,"breakfast, dinner, lunch"
368,Kawista,kawista,71.8,120,3500,2500,20800.0,4600,190,230.0,1.6,9,1015.6,0.1,0.4,3.0,9000,manis,buah,"breakfast, dinner, lunch"
369,Kedondong masak,kedondong,88.0,46,1000,100,10300.0,2600,15,22.0,2.8,2,216.2,0.1,0.1,30.0,7000,asam,buah,"breakfast, dinner, lunch"
370,Kedondong,kedondong,87.8,47,500,200,10400.0,2700,7,58.0,0.8,2,80.0,0.1,0.2,32.0,7000,asam,buah,"breakfast, dinner, lunch"
371,Kelapa hutan,kelapa hutan,6.0,623,2000,52000,36500.0,15300,120,280.0,3.8,100,460.0,1.7,1.9,0.0,9000,gurih,buah,"breakfast, dinner, lunch"
372,Kelapa muda,kelapa muda,83.3,68,1000,900,14000.0,0,7,30.0,1.0,18,564.6,0.1,0.3,4.0,7000,segar,buah,"breakfast, dinner, lunch"
373,Kemang,kemang,86.5,48,1000,200,11900.0,1700,10,24.0,0.1,2,88.6,0.1,0.1,58.0,7000,asam,buah,"breakfast, dinner, lunch"
374,Kesemek,kesemek,78.2,78,800,400,20000.0,600,6,26.0,0.3,0,34.5,0.1,0.1,11.0,7000,manis,buah,"breakfast, dinner, lunch"
375,Kokosan,kokosan,85.0,86,1600,200,13000.0,1400,22,38.0,1.3,2,118.3,0.1,0.2,3.0,7000,asam,buah,"breakfast, dinner, lunch"
376,Kranji,kranji (buah),20.1,315,2100,1400,73500.0,3600,160,120.0,3.7,10,100.0,0.1,0.3,10.0,7000,manis,buah,"breakfast, dinner, lunch"
377,Langsat,langsat,84.1,56,900,200,14300.0,1400,17,24.0,1.1,1,232.0,0.1,0.2,9.0,7000,manis,buah,"breakfast, dinner, lunch"
378,Lemon,lemon,92.2,34,500,800,6200.0,100,23,20.0,0.3,31,140.0,0.1,0.2,50.0,8000,asam,buah,"breakfast, dinner, lunch"
379,Lontar,buah lontar,93.0,27,400,200,6000.0,1600,91,243.0,0.5,5,90.0,0.1,0.2,5.0,7000,manis,buah,"breakfast, dinner, lunch"
380,Mangga,mangga,86.6,52,700,0,12300.0,1600,20,16.0,1.0,3,140.0,0.1,0.1,12.0,7000,manis,buah,"breakfast, dinner, lunch"
381,Mangga benggala,mangga benggala,84.4,63,2400,400,12400.0,5800,9,13.0,0.2,3,79.0,0.1,0.1,43.0,7000,manis,buah,"breakfast, dinner, lunch"
382,Mangga gedung,mangga gedung,87.4,44,700,200,11200.0,1600,13,10.0,0.2,2,83.6,0.1,0.1,30.0,7000,manis,buah,"breakfast, dinner, lunch"
383,Mangga golek,mangga golek,82.2,63,500,200,16700.0,2300,14,10.0,0.7,3,118.1,0.1,0.1,65.0,7000,manis,buah,"breakfast, dinner, lunch"
384,Mangga harumanis,mangga harumanis,86.6,46,400,200,11900.0,1700,15,9.0,0.2,2,88.9,0.1,0.1,6.0,7000,manis,buah,"breakfast, dinner, lunch"
385,Mangga indramayu,mangga indramayu,80.2,72,800,200,18700.0,2500,13,10.0,1.9,3,131.4,0.1,0.1,16.0,7000,manis,buah,"breakfast, dinner, lunch"
386,Mangga kopek,mangga kopek,84.5,56,400,200,14600.0,2000,16,10.0,1.7,2,102.9,0.1,0.1,27.0,7000,manis,buah,"breakfast, dinner, lunch"
387,Mangga kwini,mangga kwini,78.6,86,700,500,19800.0,6500,11,11.0,0.2,1,16.0,0.1,0.1,18.0,7000,manis,buah,"breakfast, dinner, lunch"
388,Mangga manalagi,mangga manalagi,66.5,133,1000,100,32100.0,11800,20,23.0,1.0,70,161.0,0.1,0.1,61.0,7000,manis,buah,"breakfast, dinner, lunch"
389,Mangga muda,mangga muda,83.7,59,500,400,15100.0,1000,12,11.0,0.4,2,108.2,0.1,0.1,2.0,7000,asam,buah,"breakfast, dinner, lunch"
390,Manggis,manggis,83.0,63,600,600,15600.0,1500,8,12.0,0.8,10,61.9,0.1,0.1,5.0,9000,manis,buah,"breakfast, dinner, lunch"
391,Markisa,markisa,64.7,144,3500,1200,29800.0,11400,27,203.0,1.4,37,453.8,0.1,0.1,10.0,9000,asam,buah,"breakfast, dinner, lunch"
392,Matoa,matoa,76.5,90,1200,100,21100.0,500,20,40.0,0.6,10,190.0,0.1,0.6,54.0,9000,manis,buah,"breakfast, dinner, lunch"
393,Melon,melon,90.8,37,600,400,7800.0,1000,12,14.0,0.4,27,167.0,0.1,0.1,0.0,8000,segar,buah,"breakfast, dinner, lunch"
394,Menteng,menteng,79.0,65,1700,300,16100.0,1000,13,20.0,0.8,2,80.0,0.1,0.2,5.0,8000,manis,buah,"breakfast, dinner, lunch"
395,Nanas palembang,nanas,85.5,58,700,200,13300.0,1600,29,15.0,0.6,7,117.0,0.1,0.1,11.0,7000,asam,buah,"breakfast, dinner, lunch"
396,Nanas,nanas,88.9,40,600,300,9900.0,600,22,14.0,0.9,18,111.0,0.1,0.1,22.0,7000,asam,buah,"breakfast, dinner, lunch"
397,Nangka masak pohon,nangka,70.0,106,1200,300,27600.0,3700,20,19.0,0.9,2,407.0,0.1,0.3,7.0,8000,manis,buah,"breakfast, dinner, lunch"
398,Pala,pala,88.1,42,300,200,10900.0,500,32,24.0,1.5,5,80.0,0.1,0.2,22.0,9000,asam,buah,"breakfast, dinner, lunch"
399,Pepaya,pepaya,86.7,46,500,12000,12200.0,1600,23,12.0,1.7,4,221.0,0.1,0.3,78.0,7000,manis,buah,"breakfast, dinner, lunch"
400,Pisang ambon,pisang ambon,72.9,108,1000,800,24300.0,1900,20,30.0,0.2,10,80.0,0.1,0.2,9.0,7000,manis,buah,"breakfast, dinner, lunch"
401,Pisang angleng (pisang ampyang),pisang angleng,80.3,68,1300,200,17200.0,800,10,26.0,0.6,23,215.7,0.1,0.1,6.0,7000,manis,buah,"breakfast, dinner, lunch"
402,Pisang ayam,pisang ayam,71.2,120,1100,200,26800.0,4100,20,61.0,0.4,6,392.0,0.1,0.3,26.0,7000,manis,buah,"dinner, lunch"
403,Pisang gapi,pisang gapi,66.3,131,1600,100,31100.0,11700,58,40.0,0.3,6,392.0,0.1,0.3,13.0,7000,manis,buah,"breakfast, dinner, lunch"
404,Pisang goroho,pisang goroho,69.4,119,1500,200,27900.0,4600,2,30.0,0.2,36,359.0,0.1,0.3,10.0,7000,manis,buah,"breakfast, dinner, lunch"
405,Pisang hijau,pisang hijau,68.9,121,1000,100,28900.0,400,9,37.0,0.9,31,529.4,0.1,0.6,13.0,7000,manis,buah,"breakfast, dinner, lunch"
406,Pisang kayu,pisang kayu,74.4,100,1400,500,23600.0,2600,15,0.0,0.1,1,493.0,0.1,0.3,11.0,7000,manis,buah,"breakfast, dinner, lunch"
407,Pisang kepok,pisang kepok,71.9,109,800,500,26300.0,5700,10,30.0,0.5,10,300.0,0.1,0.2,9.0,7000,manis,buah,"breakfast, dinner, lunch"
408,Pisang ketip,pisang ketip,63.4,145,1100,300,34500.0,6600,5,54.0,0.1,4,726.0,0.1,0.5,95.0,7000,manis,buah,"breakfast, dinner, lunch"
409,Pisang kidang,pisang kidang,75.4,96,1000,200,22500.0,600,87,173.0,0.6,6,418.8,0.1,0.5,2.0,7000,manis,buah,"breakfast, dinner, lunch"
410,Pisang lampung,pisang lampung,72.1,99,1300,200,25600.0,4300,10,19.0,0.9,28,475.0,0.1,0.5,4.0,7000,manis,buah,"breakfast, dinner, lunch"
411,Pisang mas bali ampenan,pisang mas bali,76.8,92,1400,200,21000.0,3700,7,29.0,1.2,32,272.0,0.1,0.4,11.0,7000,manis,buah,"breakfast, dinner, lunch"
412,Pisang mas bali kopang,pisang mas bali,64.2,127,1400,200,31800.0,3700,10,0.0,0.1,43,616.0,0.1,0.4,17.0,7000,manis,buah,"breakfast, dinner, lunch"
413,Pisang mas,pisang mas,64.2,127,1400,200,33600.0,1400,7,25.0,0.8,42,392.0,0.1,0.5,2.0,7000,manis,buah,"breakfast, dinner, lunch"
414,Pisang raja sereh,pisang raja sereh,69.3,108,1300,300,28200.0,700,16,38.0,0.1,31,522.6,0.3,0.6,2.0,7000,manis,buah,"breakfast, dinner, lunch"
415,Pisang raja sereh,pisang raja sereh,65.8,120,1200,200,31800.0,5300,10,22.0,0.8,35,582.2,0.3,0.7,10.0,7000,manis,buah,"breakfast, dinner, lunch"
416,Pisang rotan,pisang rotan,76.1,98,1300,1200,20500.0,1000,17,51.0,1.1,24,406.9,0.2,0.5,2.0,7000,manis,buah,"breakfast, dinner, lunch"
417,Pisang talas,pisang talas,71.0,113,1200,200,26700.0,4400,22,22.0,0.6,29,48.0,0.3,0.1,9.0,7000,manis,buah,"breakfast, dinner, lunch"
418,Pisang tujuh bulan,pisang tujuh bulan,75.9,94,600,200,22500.0,3700,50,20.0,0.2,10,4.0,0.1,0.4,6.0,7000,manis,buah,"breakfast, dinner, lunch"
419,Pisang ua,pisang ua,67.8,128,800,500,30200.0,8100,12,28.0,0.7,33,382.0,0.2,0.3,4.0,7000,manis,buah,"breakfast, dinner, lunch"
420,Pisang uli,pisang uli,61.8,134,1100,500,35500.0,1400,31,53.0,0.9,39,650.3,0.3,0.7,3.0,7000,manis,buah,"breakfast, dinner, lunch"
421,Purut,purut (jeruk purut),81.1,76,4100,1100,15200.0,1700,30,76.0,0.6,10,285.2,0.1,0.2,0.0,8000,asam,buah,"breakfast, dinner, lunch"
422,Rambutan binjai,rambutan binjai,81.0,76,500,200,18000.0,3800,15,22.0,1.2,22,120.0,0.2,0.2,13.0,9000,manis,buah,"breakfast, dinner, lunch"
423,Rambutan,rambutan,80.5,69,900,100,18100.0,800,16,16.0,0.5,16,104.2,0.2,0.1,58.0,9000,manis,buah,"breakfast, dinner, lunch"
424,Salak bali,salak bali,85.1,57,500,100,13600.0,1300,94,25.0,2.1,10,100.0,0.1,0.2,0.0,9000,manis,buah,"breakfast, dinner, lunch"
425,Salak medan,salak medan,78.1,55,400,200,12800.0,3200,6,46.0,0.5,39,113.0,0.2,0.3,58.0,9000,manis,buah,"breakfast, dinner, lunch"
426,Salak pondoh,salak pondoh,77.9,87,800,400,20100.0,0,38,31.0,3.9,10,100.0,0.1,0.2,8.0,9000,manis,buah,"breakfast, dinner, lunch"
427,Salak,salak,78.0,77,400,200,20900.0,1000,28,18.0,4.2,10,100.0,0.1,0.2,2.0,9000,manis,buah,"breakfast, dinner, lunch"
428,Sawo duren,sawo duren,87.3,64,1000,3100,8000.0,800,18,45.0,0.8,13,111.4,0.1,0.1,1.0,9000,manis,buah,"breakfast, dinner, lunch"
429,Sawo kecil,sawo kecil,73.8,111,900,2300,21600.0,1000,20,185.0,0.7,28,117.8,0.1,0.1,19.0,9000,manis,buah,"breakfast, dinner, lunch"
430,Sawo Manila,sawo manila,75.5,92,500,1100,22400.0,9500,25,12.0,1.0,26,110.2,0.1,0.1,21.0,9000,manis,buah,"breakfast, dinner, lunch"
431,Semangka,semangka,92.1,28,500,200,6900.0,400,7,12.0,0.2,7,93.8,0.0,0.1,6.0,7000,segar,buah,"breakfast, dinner, lunch"
432,Sirsak,sirsak,81.7,65,1000,300,16300.0,3200,14,27.0,0.6,2,298.9,0.1,1.0,20.0,9000,asam,buah,"breakfast, dinner, lunch"
433,Sowa,sowa,87.7,48,1600,600,9100.0,4500,50,40.0,0.3,9,0.0,0.1,1.5,4.0,8000,manis,buah,"breakfast, dinner, lunch"
434,Srikaya,srikaya,83.4,63,1100,500,13900.0,2100,127,30.0,2.7,10,100.0,0.1,0.2,28.0,9000,manis,buah,"breakfast, dinner, lunch"
435,Sukun muda,sukun muda,69.4,119,1400,200,28100.0,1400,24,44.0,1.4,24,414.4,0.1,0.1,52.0,8000,tawar,buah,"breakfast, dinner, lunch"
436,Sukun tua,sukun tua,67.8,126,1600,200,24500.0,1500,37,47.0,1.6,25,436.0,0.1,0.1,58.0,8000,tawar,buah,"breakfast, dinner, lunch"
437,Vigus,vigus (umbi liar),88.0,44,2400,100,8300.0,1000,30,20.0,0.3,2,180.0,0.1,0.2,43.0,8000,tawar,buah,"breakfast, dinner, lunch"
438,Wani,wani,81.2,74,800,300,17100.0,3100,66,29.0,1.2,10,100.0,0.1,0.2,80.0,9000,manis,buah,"breakfast, dinner, lunch"
439,Barongko,"barongko (pisang, telur, santan)",66.7,159,3100,5800,23500.0,1000,35,65.0,1.2,46,78.0,0.3,0.6,10.0,9000,manis,buah,"breakfast, dinner, lunch"
440,Dodol nanas,dodol nanas,16.1,338,1500,1200,80300.0,1000,10,20.0,0.5,10,50.0,0.1,0.2,8.0,9000,manis,buah,"breakfast, dinner, lunch"
441,Getuk pisang,getuk pisang,63.7,144,1100,400,34100.0,400,48,32.0,1.0,10,50.0,0.1,0.2,0.0,8000,manis,buah,"breakfast, dinner, lunch"
442,Keripik lampung,"singkong, minyak",5.0,485,1700,22000,69700.0,600,43,65.0,0.8,10,50.0,0.1,0.2,0.0,9000,gurih,buah,"breakfast, dinner, lunch"
443,Ledre pisang,"pisang, tepung, gula",3.6,405,4800,5100,84900.0,400,59,124.0,2.6,10,50.0,0.1,0.2,0.0,9000,manis,buah,"breakfast, dinner, lunch"
444,Lempog durian,"durian, gula",25.2,320,3500,5700,63700.0,4900,190,93.0,2.5,20,80.0,0.2,0.4,10.0,10000,manis,buah,"breakfast, dinner, lunch"
445,Loka anjoro,loka anjoro (umbi),63.3,163,1100,4300,30000.0,1000,20,30.0,0.5,10,50.0,0.1,0.2,0.0,8000,tawar,buah,"breakfast, dinner, lunch"
446,Rica-rica taipa,"taipa (daging rusa), rica",86.7,49,1600,300,10000.0,1000,11,48.0,3.0,426,42.0,0.5,0.5,15.0,15000,pedas,buah,"breakfast, dinner, lunch"
447,Rujak aceh,"buah campur, bumbu rujak",78.7,82,400,300,19700.0,2400,10,20.0,0.5,10,50.0,0.1,0.2,42.0,9000,asam,buah,"breakfast, dinner, lunch"
448,Sale kesemek,"kesemek, gula",25.0,296,1100,600,71400.0,1000,10,20.0,0.5,10,50.0,0.1,0.2,3.0,9000,manis,buah,"breakfast, dinner, lunch"
449,Sale pisang siam,"pisang siam, gula",28.9,281,2400,700,66100.0,1000,41,64.0,1.2,10,50.0,0.1,0.2,0.0,9000,manis,buah,"breakfast, dinner, lunch"
450,"Sale pisang, cilacap","pisang, gula",27.1,295,2300,2100,66900.0,1300,47,97.0,2.8,10,50.0,0.1,0.2,0.0,9000,manis,buah,"breakfast, dinner, lunch"
451,Sanggara belanda,"pisang, telur, santan",47.1,242,6400,7100,38200.0,1000,20,40.0,0.5,10,50.0,0.1,0.2,0.0,9000,manis,buah,"breakfast, dinner, lunch"
452,Tepung Pisang,pisang,13.8,338,2900,400,80600.0,5300,23,62.0,4.0,18,734.0,0.1,0.5,2.0,9000,tawar,buah,"breakfast, dinner, lunch"
453,Tepung Sukun,sukun,10.1,353,2900,500,84400.0,3700,100,85.0,4.6,9,2008.0,0.1,0.6,3.0,9000,tawar,buah,"breakfast, dinner, lunch"
454,Dendeng bekicot,"bekicot, bumbu",6.7,441,48700,20300,15800.0,0,692,523.0,16.6,50,100.0,0.5,1.5,69.0,18000,gurih,ikan,"breakfast, dinner, lunch"
455,Belut goreng,"belut, minyak",11.2,417,25900,19400,32000.0,0,840,872.0,4.9,71,217.7,0.3,1.8,0.0,18000,gurih,ikan,"breakfast, dinner, lunch"
456,Cumi-cumi goreng,cumi-cumi,54.2,265,40600,10100,0.0,0,62,270.0,2.7,86,81.9,0.1,0.6,0.0,18000,gurih,ikan,"dinner, lunch"
457,Ikan asin,ikan asin,40.0,193,42000,1500,0.0,0,200,300.0,0.0,2500,100.0,0.1,0.6,0.0,20000,asin,ikan,"breakfast, dinner, lunch"
458,Ikan bandeng presto,"bandeng, bumbu",45.3,296,17100,20300,11300.0,500,1422,659.0,1.9,150,100.0,0.1,0.7,69.0,18000,gurih,ikan,"breakfast, dinner, lunch"
459,Ikan baung bakar,ikan baung,69.8,144,17800,5800,5200.0,500,18,169.0,0.0,168,236.0,0.1,0.7,5.0,16000,gurih,ikan,"breakfast, dinner, lunch"
460,Ikan Belida bakar,ikan belida,68.2,128,18000,3000,7200.0,0,58,134.0,0.0,293,198.0,0.1,0.4,5.0,16000,gurih,ikan,"breakfast, dinner, lunch"
